"이름","전투력","협투력","속성","버스트","기업","무기","클래스","돌파","코강","호감도","스킬1","스킬2","버스트스킬","우코(%)","공증(%)","장탄(%)","크확(%)","크댐(%)","명중(%)","차댐(%)","차속(%)","방어(%)","소장품","큐브","큐브_레벨","머리_티어","머리_레벨","머리_옵1","머리_옵1값","머리_옵2","머리_옵2값","머리_옵3","머리_옵3값","몸통_티어","몸통_레벨","몸통_옵1","몸통_옵1값","몸통_옵2","몸통_옵2값","몸통_옵3","몸통_옵3값","장갑_티어","장갑_레벨","장갑_옵1","장갑_옵1값","장갑_옵2","장갑_옵2값","장갑_옵3","장갑_옵3값","다리_티어","다리_레벨","다리_옵1","다리_옵1값","다리_옵2","다리_옵2값","다리_옵3","다리_옵3값","콘솔_공용","콘솔_화력형","콘솔_방어형","콘솔_지원형","콘솔_엘리시온","콘솔_미실리스","콘솔_테트라","콘솔_필그림","콘솔_어브노멀"
"율리아","767718","47449","철갑","버스트3","미실리스","AR","화력형","3","7","30","7","7","7","70.68","23.62","0.00","5.71","0.00","11.81","23.62","10.00","0.00","애장품 ★★★","","","10","0","차댐","11.81","우코","23.56","공증","11.81","10","0","차속","4.92","차댐","11.81","","","10","0","우코","23.56","크확","5.71","공증","11.81","10","0","명중","11.81","우코","23.56","차속","4.92","370","225","224","224","227","227","228","263","220"
"클레어","281734","9043","전격","버스트1","어브노멀","RL","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"루피","403173","10620","철갑","버스트2","테트라","AR","화력형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"유키코","565073","41611","작열","버스트3","어브노멀","MG","화력형","0","0","10","9","9","9","90.02","28.39","36.06","0.00","7.62","0.00","0.00","3.00","0.00","SR 15","","","10","5","차속","3.45","우코","24.96","공증","5.47","10","1","우코","22.15","공증","11.11","크댐","7.62","10","3","우코","23.56","","","공증","11.81","10","0","우코","19.35","","","장탄","36.06","370","225","224","224","227","227","228","263","220"
"루피 : 윈터 쇼퍼","349619","9274","전격","버스트1","테트라","AR","방어형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"레이블","349608","9263","철갑","버스트1","엘리시온","AR","방어형","3","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"볼륨","441337","11997","풍압","버스트1","테트라","SMG","화력형","3","7","30","1","7","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"엠마","383368","9983","작열","버스트1","엘리시온","MG","지원형","3","7","18","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"일레그","384244","10520","전격","버스트2","미실리스","MG","지원형","3","7","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"소다","376840","10077","작열","버스트1","테트라","MG","지원형","3","6","24","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"코코아","363369","9552","작열","버스트1","테트라","SR","지원형","3","4","20","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","224","227","227","228","263","220"
"루주","694170","48897","전격","버스트1","테트라","SR","지원형","3","7","30","10","10","10","0.00","0.00","206.79","0.00","32.88","0.00","11.81","5.00","11.81","SR 15","","","10","5","장탄","68.93","크댐","16.44","","","10","5","차댐","11.81","","","","","10","4","크댐","16.44","","","장탄","68.93","10","0","장탄","68.93","방어","11.81","차속","4.92","370","225","224","224","227","227","228","263","220"
"프리바티 : 언카인드 메이드","606004","25788","전격","버스트3","엘리시온","SG","화력형","3","7","30","7","7","7","23.29","15.88","133.75","4.35","0.00","0.00","5.47","4.00","8.29","SR 0","","","10","0","차댐","5.47","차속","4.04","장탄","64.82","10","0","우코","13.75","","","공증","9.00","10","0","장탄","68.93","공증","6.88","","","10","0","우코","9.54","크확","4.35","방어","8.29","370","225","224","224","227","227","228","263","220"
"아니스 : 스파클링 서머","629094","45452","전격","버스트3","테트라","SG","지원형","3","0","30","10","10","10","92.81","8.29","0.00","0.00","23.08","9.00","15.88","0.00","0.00","SR 15","","","10","5","명중","9.00","공증","8.29","우코","19.35","10","1","차댐","7.59","우코","22.15","","","10","5","크댐","8.60","차댐","8.29","우코","29.16","10","0","크댐","14.48","우코","22.15","","","370","225","224","224","227","227","228","263","220"
"목단","718309","48225","전격","버스트1","테트라","AR","방어형","3","7","30","7","10","10","23.56","35.43","100.88","0.00","0.00","21.51","0.00","8.00","0.00","애장품 ★★★","","","10","5","명중","11.81","우코","23.56","공증","11.81","10","4","공증","11.81","차속","4.92","","","10","3","명중","9.70","장탄","31.95","차속","2.86","10","0","장탄","68.93","공증","11.81","","","370","225","224","224","227","227","228","263","220"
