"이름","전투력","협투력","속성","버스트","기업","무기","클래스","돌파","코강","호감도","스킬1","스킬2","버스트스킬","우코(%)","공증(%)","장탄(%)","크확(%)","크댐(%)","명중(%)","차댐(%)","차속(%)","방어(%)","소장품","큐브","큐브_레벨","머리_티어","머리_레벨","머리_옵1","머리_옵1값","머리_옵2","머리_옵2값","머리_옵3","머리_옵3값","몸통_티어","몸통_레벨","몸통_옵1","몸통_옵1값","몸통_옵2","몸통_옵2값","몸통_옵3","몸통_옵3값","장갑_티어","장갑_레벨","장갑_옵1","장갑_옵1값","장갑_옵2","장갑_옵2값","장갑_옵3","장갑_옵3값","다리_티어","다리_레벨","다리_옵1","다리_옵1값","다리_옵2","다리_옵2값","다리_옵3","다리_옵3값","콘솔_공용","콘솔_화력형","콘솔_방어형","콘솔_지원형","콘솔_엘리시온","콘솔_미실리스","콘솔_테트라","콘솔_필그림","콘솔_어브노멀"
"네온","279821","8490","작열","버스트1","엘리시온","SG","지원형","2","0","13","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"미카 : 스노우 버디","338902","8715","철갑","버스트1","테트라","SMG","지원형","3","0","16","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"메어리 : 베이 갓데스","366980","10080","수냉","버스트1","테트라","SR","지원형","3","0","30","4","4","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"라이","335916","8482","수냉","버스트1","테트라","SMG","방어형","3","0","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"클레어","282064","9055","전격","버스트1","어브노멀","RL","지원형","2","0","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"노아","631067","35340","풍압","버스트2","필그림","RL","방어형","3","7","40","4","4","4","23.56","23.62","68.93","5.71","0.00","0.00","23.62","0.00","11.81","SR 5","","","10","0","차댐","11.81","장탄","68.93","","","10","0","우코","23.56","방어","11.81","","","10","0","공증","11.81","","","","","10","0","차댐","11.81","크확","5.71","공증","11.81","370","225","224","225","228","228","228","263","220"
"아크레인저 블랙","655787","45581","풍압","버스트3","테트라","AR","화력형","3","1","30","10","7","10","90.02","11.11","0.00","2.98","37.56","0.00","11.81","0.00","0.00","SR 15","","","10","5","우코","19.35","","","","","10","0","크확","2.98","우코","29.16","크댐","6.64","10","3","우코","23.56","차댐","11.81","크댐","16.44","10","0","우코","17.95","크댐","14.48","공증","11.11","370","225","224","225","228","228","228","263","220"
"은화","380562","9538","작열","버스트2","엘리시온","SR","화력형","3","6","10","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"에이드","400540","10195","풍압","버스트2","테트라","AR","지원형","3","7","21","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"클레이","373754","10185","전격","버스트2","테트라","SMG","지원형","3","5","30","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"티아","636396","38259","철갑","버스트1","미실리스","RL","방어형","3","7","30","10","5","4","23.56","11.81","137.86","0.00","16.44","11.81","0.00","5.00","11.81","R 5","","","10","3","명중","11.81","크댐","16.44","장탄","68.93","10","3","장탄","68.93","","","방어","11.81","10","2","우코","23.56","","","","","10","4","공증","11.81","차속","4.92","","","370","225","224","225","228","228","228","263","220"
"길티","480703","21937","풍압","버스트2","미실리스","SG","화력형","3","0","30","4","4","4","0.00","0.00","137.86","5.71","0.00","0.00","11.81","0.00","11.81","R 0","","","10","0","크확","5.71","차댐","11.81","","","10","0","장탄","68.93","","","","","10","0","장탄","68.93","","","","","10","0","방어","11.81","","","","","370","225","224","225","228","228","228","263","220"
"크라운","673840","55775","철갑","버스트2","필그림","MG","방어형","3","4","40","10","10","10","41.51","11.81","68.93","0.00","32.88","0.00","0.00","7.00","0.00","SR 15","렐릭 베어 큐브","15","10","5","차속","2.28","","","우코","17.95","10","5","공증","11.81","크댐","16.44","차속","4.92","10","5","장탄","68.93","크댐","16.44","","","10","5","우코","23.56","","","","","370","225","224","225","228","228","228","263","220"
"폴크방","427652","11741","수냉","버스트2","테트라","AR","방어형","3","7","11","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","렐릭 디스트로이 큐브","11","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"민트","680278","50834","철갑","버스트2","테트라","RL","지원형","3","2","30","10","10","10","47.12","0.00","0.00","0.00","16.44","0.00","11.81","5.00","23.62","SR 15","렐릭 베어 큐브","15","10","5","방어","11.81","","","","","10","1","차속","4.92","","","크댐","16.44","10","3","우코","23.56","","","","","10","0","차댐","11.81","방어","11.81","우코","23.56","370","225","224","225","228","228","228","263","220"
"백학","353773","9163","수냉","버스트2","미실리스","SR","방어형","3","3","15","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"K","348985","8796","전격","버스트3","엘리시온","SMG","화력형","3","1","13","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","R 0","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","9","0","","","","","","","370","225","224","225","228","228","228","263","220"
"솔져 E.G.","251130","7865","전격","버스트3","엘리시온","AR","화력형","0","0","1","1","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","0","0","","","","","","","370","225","224","225","228","228","228","263","220"
